Epoch,Loss
1,142.0397173166275
2,135.7128220796585
3,137.69252002239227
4,140.31297075748444
5,141.28822207450867
6,141.20222914218903
7,139.4740377664566
8,137.77971923351288
9,134.7427213191986
10,132.70206606388092
11,130.76300370693207
12,129.79644256830215
13,128.3980985879898
14,127.30027866363525
15,126.08611905574799
16,125.23086887598038
17,124.0175793170929
18,123.64478379487991
19,122.994096159935
20,122.10566818714142
21,121.58415073156357
22,121.08059453964233
23,120.31857693195343
24,119.80531972646713
25,119.2253770828247
26,119.3676108121872
27,118.90310478210449
28,118.28096359968185
29,118.09677052497864
30,118.1268835067749
