Epoch,AUC
1,0.6426760983422557
2,0.6795824077623203
3,0.6987465948444807
4,0.712736132036219
5,0.7206733437380752
6,0.7277855489990479
7,0.7334454810750002
8,0.7367334422236514
9,0.7398487582242762
10,0.7442440787012863
11,0.7472954279450412
12,0.7495004123913411
13,0.7509776237251704
14,0.7518965336369455
15,0.7528784029136778
16,0.7541740102430265
17,0.756054505504701
18,0.7571335318820483
19,0.7584425442355297
20,0.7590892624510329
21,0.759410931965047
22,0.7595816639815651
23,0.7615676545757828
24,0.7626000347168203
25,0.7630205485053909
26,0.7631554665483637
27,0.7638531530551259
28,0.7647298546439598
29,0.7654298565861399
30,0.766380832203627
