Epoch,Accuracy
1,0.5734997986306887
2,0.6061216270640355
3,0.6190092629883206
4,0.6294804671768023
5,0.6347160692710431
6,0.6383407168747482
7,0.6415626258558196
8,0.6512283527990335
9,0.6480064438179621
10,0.6455900120821587
11,0.6472009665726943
12,0.644381796214257
13,0.6492146596858639
14,0.6472009665726943
15,0.6528393072895691
16,0.63954893274265
17,0.6560612162706404
18,0.6508256141763995
19,0.6580749093838099
20,0.6608940797422472
21,0.6568666935159082
22,0.6596858638743456
23,0.6633105114780508
24,0.662505034232783
25,0.6608940797422472
26,0.6608940797422472
27,0.657672170761176
28,0.6584776480064438
29,0.6697543294401933
30,0.6508256141763995
