Epoch,Accuracy
1,0.3419250906161901
2,0.3407168747482884
3,0.3415223519935562
4,0.3427305678614579
5,0.3463552154651631
6,0.3527990334273057
7,0.3685058397100282
8,0.3801852597664116
9,0.3987112364075715
10,0.41602899718082964
11,0.4309303262182843
12,0.44381796214256947
13,0.45469190495368506
14,0.4611357229158276
15,0.4695932339911397
16,0.47482883608538057
17,0.4804671768022553
18,0.48489730165122835
19,0.490938380990737
20,0.500201369311317
21,0.5042287555376561
22,0.5078534031413613
23,0.5126862666129682
24,0.5175191300845751
25,0.5251711639146194
26,0.5263793797825211
27,0.5287958115183246
28,0.5300040273862263
29,0.5291985501409585
30,0.5316149818767619
