Epoch,Accuracy
1,0.5730970600080548
2,0.6198147402335884
3,0.6254530809504631
4,0.6318968989126057
5,0.6194120016109544
6,0.6411598872331856
7,0.6383407168747482
8,0.6391461941200162
9,0.6459927507047926
10,0.6552557390253725
11,0.6548530004027386
12,0.6459927507047926
13,0.6419653644784535
14,0.63954893274265
15,0.6500201369311317
16,0.6528393072895691
17,0.657269432138542
18,0.6604913411196134
19,0.6459927507047926
20,0.6524365686669351
21,0.6536447845348369
22,0.6592831252517116
23,0.657269432138542
24,0.6407571486105518
25,0.6645187273459525
26,0.657269432138542
27,0.6564639548932742
28,0.6544502617801047
29,0.6480064438179621
30,0.662505034232783
