Epoch,Loss
1,1.0637531269798994
2,1.0743263416499063
3,1.0926661737921464
4,1.092535943701642
5,1.0904863739125519
6,1.102278728239046
7,1.0813884811535583
8,1.0818830423750292
9,1.0803690565294173
10,1.0929793257374052
11,1.0892508530448992
12,1.0875891000614957
13,1.0887299319372408
14,1.0823675059918036
15,1.089275201985014
16,1.0983954716511681
17,1.1025001281774818
18,1.0972754555908006
19,1.1206541889994475
20,1.125175062802921
21,1.126957186131481
22,1.1241364795496167
23,1.1060796387965461
24,1.1022864992120847
25,1.1101155344446345
26,1.1187545808150117
27,1.124406994554193
28,1.1268121165815417
29,1.1268979393009846
30,1.133416988264312
