,0
0,0.3302058900182434
1,0.39027886369559556
2,0.42611415168100075
3,0.3434975241073756
4,0.41608027104508727
5,0.39027886369559545
6,0.41529841021631486
7,0.40031274433150904
8,0.4503518373729476
9,0.36982017200938233
10,0.41816523325514726
11,0.39027886369559556
12,0.415689340630701
13,0.39027886369559556
14,0.3316393015376596
15,0.45035183737294765
16,0.39027886369559556
17,0.3685170706280949
18,0.47836851707062816
19,0.41529841021631486
20,0.3652593171748762
21,0.35509512640083396
22,0.27378160020849623
23,0.4253322908522283
24,0.3977065415689341
25,0.3802449830596821
26,0.3552254365389627
27,0.3552254365389627
28,0.39027886369559545
29,0.4503518373729476
