,0
0,0.46990954193756856
1,0.593358210720445
2,0.5474809547984354
3,0.5616179077792802
4,0.5611372372143244
5,0.5294230016114443
6,0.529287494535519
7,0.5733210813643181
8,0.5533171043167823
9,0.5818932868815707
10,0.5391135740715552
11,0.5147098827073324
12,0.5629566433435912
13,0.5225306949080887
14,0.5324314224960459
15,0.5272080235048547
16,0.5491705017334535
17,0.5546632276950786
18,0.5604791034158533
19,0.5501983170081697
20,0.5090738568696324
21,0.4920060288059422
22,0.5055939468019202
23,0.5087476997570775
24,0.4935191173799312
25,0.49952357926161534
26,0.5
27,0.5010504098325115
28,0.49901704313557227
29,0.5093304594949931
