Epoch,AUC
1,0.5064569207693919
2,0.5258592801090048
3,0.5408739983872928
4,0.5561983503551523
5,0.5677103120094666
6,0.5776198406565506
7,0.5871561489672319
8,0.5955115667866739
9,0.6029958824890087
10,0.6105764638130651
11,0.616808593498698
12,0.6227649626469502
13,0.6279437379107298
14,0.632384476109727
15,0.6364358291860539
16,0.640341937369816
17,0.6440859986156042
18,0.6480662703387594
19,0.652513859897143
20,0.6555595328915093
21,0.6586051670142756
22,0.6616626813179611
23,0.6644618214013402
24,0.6671059736371913
25,0.6695136998903295
26,0.6721662071515748
27,0.6742107248031899
28,0.6762473384214747
29,0.6783631695350596
30,0.6806237871874279
