,0
0,0.46189506767719896
1,0.5720099149928571
2,0.5463020210511071
3,0.5352135463723519
4,0.5297646512548287
5,0.5479872736234938
6,0.5463778949809638
7,0.5254189877836707
8,0.5349697376504974
9,0.5253991202106942
10,0.5246175659877151
11,0.5322671910201637
12,0.5503186078957937
13,0.5471730832780761
14,0.525628175423302
15,0.5362558448066103
16,0.527282399221734
17,0.5703543090102751
18,0.5293808031247941
19,0.558963216120938
20,0.5478798274982163
21,0.5506963408666296
22,0.5492450455287787
23,0.5654582150908135
24,0.5
25,0.5108593652108954
26,0.4995927771868374
27,0.505156786882352
28,0.49952279510358205
29,0.48734195286390447
