Epoch,AUC
1,0.7293562379614749
2,0.7490635742179705
3,0.7592713324992499
4,0.7689369432900592
5,0.774452520617057
6,0.7778252102704238
7,0.7807736641494487
8,0.782997701960592
9,0.7842480690701639
10,0.7868229864307842
11,0.7910555379974404
12,0.7933015065657656
13,0.7935060442707331
14,0.792812276596959
15,0.794619576919031
16,0.7962525666236506
17,0.7979231343435254
18,0.7994336167044205
19,0.7990243112220722
20,0.7997743321755959
21,0.8030130072849428
22,0.8035551513188014
23,0.8039593552097188
24,0.8049911841168098
25,0.8087692278686957
26,0.8087532481085512
27,0.8101110881156719
28,0.8111429830985284
29,0.8100623570190871
30,0.8120961426383593
