Epoch,AUC
1,0.47906768884808504
2,0.501405220341778
3,0.5177397217311858
4,0.5330781139385186
5,0.5470287954932171
6,0.5584185044941312
7,0.5692275422011274
8,0.5782793989051829
9,0.586225312277157
10,0.5931915861091579
11,0.5996846073463692
12,0.6062443990187549
13,0.6119252815275078
14,0.6177653275258115
15,0.6230818469993102
16,0.6288185825158552
17,0.6334282249597593
18,0.6385435914202361
19,0.6430719162524935
20,0.6480502897894215
21,0.6527522730403362
22,0.6571732332791853
23,0.6618339438132055
24,0.6665791998315672
25,0.6713983389190645
26,0.6765262141689584
27,0.6810600259300666
28,0.6861095616406137
29,0.6918262726394175
30,0.6979438649202241
