Epoch,Loss
1,1.5028600219368597
2,1.3679565608477429
3,1.2965525670057336
4,1.2403971535325098
5,1.2145268742806767
6,1.1875752651830667
7,1.1639954316438421
8,1.146172752243062
9,1.135478434114268
10,1.124902585534093
11,1.1147808998859174
12,1.1069603705425393
13,1.101200875091399
14,1.1027406023674995
15,1.10652674718389
16,1.1073579660500916
17,1.0993413427785381
18,1.0926720897756754
19,1.0922207718552288
20,1.101508364987575
21,1.1013279010872181
22,1.1038134473252574
23,1.1067079650601983
24,1.1131563700354488
25,1.11668951445129
26,1.1150489623297908
27,1.1163937474660608
28,1.1279298816771937
29,1.1318212808546788
30,1.1369321529921916
