Epoch,AUC
1,0.7018073967326275
2,0.7442809394310111
3,0.7652822082337745
4,0.7818410286238985
5,0.7932507548944323
6,0.8006361495699538
7,0.8064237158603444
8,0.8141286895611504
9,0.8171126451333854
10,0.8229110471602
11,0.8219427499846368
12,0.8242894886577004
13,0.8256157414793666
14,0.8232675383435093
15,0.824488886519425
16,0.8252083235102016
17,0.8301064071129706
18,0.8325517401174128
19,0.8384993462757241
20,0.8406753889785819
21,0.8404193779173332
22,0.8425369761957076
23,0.841889971700037
24,0.8435381826101975
25,0.8434615445195741
26,0.8428618619170036
27,0.8451599848980169
28,0.8495122676122235
29,0.8482898035585521
30,0.8506367841861837
