Epoch,Accuracy
1,0.08175594039468385
2,0.10672573499798631
3,0.14981876761981475
4,0.19532823197744664
5,0.22956101490132905
6,0.2621828433346758
7,0.2964156262585582
8,0.31413612565445026
9,0.33225936367297626
10,0.34313330648409185
11,0.3507853403141361
12,0.3596455900120822
13,0.36045106725735
14,0.36608940797422473
15,0.369311316955296
16,0.37333870318163515
17,0.3773660894079742
18,0.3769633507853403
19,0.37776882803060813
20,0.37857430527587593
21,0.38219895287958117
22,0.3813934756343133
23,0.3805879983890455
24,0.3805879983890455
25,0.3809907370116794
26,0.3809907370116794
27,0.3809907370116794
28,0.3801852597664116
29,0.3793797825211438
30,0.3793797825211438
