Epoch,Loss
1,48.86307740211487
2,53.19741877913475
3,57.57680770754814
4,62.8864831328392
5,68.9459213912487
6,75.2104541733861
7,82.94934429228306
8,90.96185195073485
9,96.54766833782196
10,98.4664455242455
11,100.66125182434916
12,100.93961292132735
13,101.71645893156528
14,101.06062316894531
15,102.0853727273643
16,100.62840722501278
17,101.41830759495497
18,100.66189385578036
19,100.25517142191529
20,101.01447511091828
21,100.6949011310935
22,99.60209187492728
23,98.74537834525108
24,99.45555519685149
25,100.67745199427009
26,101.04630618914962
27,99.82436210289598
28,101.32120484858751
29,100.1617233492434
30,98.76229656487703
