Epoch,Accuracy
1,0.3502736512900704
2,0.3487099296325254
3,0.3534010946051603
4,0.3612197028928851
5,0.3846755277560594
6,0.4151681000781861
7,0.44175136825645034
8,0.4683346364347146
9,0.490226739640344
10,0.508209538702111
11,0.5207193119624707
12,0.5207193119624707
13,0.5316653635652854
14,0.5293197810789679
15,0.5269741985926505
16,0.5301016419077405
17,0.5261923377638781
18,0.524628616106333
19,0.5301016419077405
20,0.5254104769351056
21,0.527756059421423
22,0.527756059421423
23,0.5316653635652854
24,0.5308835027365129
25,0.5254104769351056
26,0.5254104769351056
27,0.5191555903049258
28,0.5168100078186083
29,0.5160281469898358
30,0.509773260359656
