Epoch,AUC
1,0.7952128841995612
2,0.8346505194429128
3,0.8468441987990782
4,0.8583597319477125
5,0.8617931561932564
6,0.8640858292676156
7,0.8667492739261751
8,0.8712091508108861
9,0.8736215597217655
10,0.8753301910581146
11,0.8787145521687414
12,0.882201747474201
13,0.8812664892747069
14,0.883909522960755
15,0.8848483268866959
16,0.8856810268106924
17,0.886416361504327
18,0.8870566670104403
19,0.8876330416517124
20,0.8889823366780979
21,0.8896010307279275
22,0.8904494497573925
23,0.8915276688145444
24,0.8920644830300674
25,0.8937551436187718
26,0.8949018310594852
27,0.898103397330748
28,0.8990099129770881
29,0.9004977288641947
30,0.9001085710167956
