Epoch,Loss
1,1.5452676315822287
2,1.4632218565328248
3,1.4578116753866632
4,1.411933759792265
5,1.3959020039654046
6,1.3696866131001695
7,1.3833029637450034
8,1.349912829088003
9,1.3612423076583549
10,1.3391236811696259
11,1.367821440214694
12,1.3326105952166858
13,1.3401157893435494
14,1.3678135105404603
15,1.3620085967820927
16,1.3610725695214059
17,1.3304521381927026
18,1.3204375354695406
19,1.3194537705775955
20,1.3242057896745432
21,1.3138304864548889
22,1.3021086977462446
23,1.334828172774743
24,1.337528084369134
25,1.3304685184036682
26,1.3469651360402317
27,1.3122211572771536
28,1.321086844968738
29,1.3524515242332706
30,1.3310187557412885
