Epoch,Loss
1,141.91264295578003
2,134.78684961795807
3,136.3272968530655
4,138.98673737049103
5,141.06381249427795
6,141.38739907741547
7,139.48290348052979
8,137.21858823299408
9,135.22687828540802
10,133.1402566432953
11,130.77949845790863
12,129.43034946918488
13,128.1956009864807
14,126.9017585515976
15,126.31660383939743
16,125.66316282749176
17,124.40782767534256
18,123.39414149522781
19,122.70182430744171
20,121.53864914178848
21,121.14356243610382
22,120.90208548307419
23,120.47297698259354
24,120.0247134566307
25,119.54902851581573
26,118.86477249860764
27,118.52131652832031
28,118.55394315719604
29,118.17346894741058
30,117.99289846420288
