Epoch,AUC
1,0.8608385557108893
2,0.8776805448953071
3,0.8882719311804788
4,0.8949967380720788
5,0.8940045524646061
6,0.8990922364450595
7,0.9015008220020249
8,0.9000591260516232
9,0.8984615792805317
10,0.9042723133997554
11,0.9037108651444874
12,0.9048924475240755
13,0.9055651309586983
14,0.9072824611959808
15,0.9067095936985394
16,0.9085736662698435
17,0.9086784879019362
18,0.9097115850206492
19,0.9094003399304822
20,0.9101596366893427
21,0.9095700910483251
22,0.9115160686752171
23,0.9115129196481417
24,0.9103216769970813
25,0.9127658027268697
26,0.9119610818996204
27,0.9117852557371656
28,0.9128525966782297
29,0.9127338976337543
30,0.9113236096082424
