Epoch,Loss
1,1.3708904687790826
2,1.3394183183071644
3,1.2830710319612375
4,1.2534348987496
5,1.3023897142262406
6,1.284439037751633
7,1.2353403653485902
8,1.2791143270735292
9,1.2498522781576786
10,1.2289945832241749
11,1.2522555962955093
12,1.276531464646432
13,1.2844760273667626
14,1.2610239283336635
15,1.25943131685449
16,1.2561995628808613
17,1.2458938377737951
18,1.200949357490217
19,1.2577753355557815
20,1.2371053248223787
21,1.2368399795389349
22,1.2447566510783152
23,1.2530351522177205
24,1.2918795700088606
25,1.25550067768047
26,1.2753770947936462
27,1.3867592845671703
28,1.2588181414769342
29,1.260038985703868
30,1.3074782269403333
