Epoch,Accuracy
1,0.6222311719693918
2,0.6387434554973822
3,0.6524365686669351
4,0.6568666935159082
5,0.6472009665726943
6,0.6641159887233186
7,0.6697543294401933
8,0.6673378977043899
9,0.6669351590817559
10,0.6673378977043899
11,0.6705598066854611
12,0.675795408779702
13,0.6745871929118002
14,0.6689488521949255
15,0.6717680225533629
16,0.6693515908175593
17,0.680628272251309
18,0.6782118405155054
19,0.6786145791381394
20,0.6697543294401933
21,0.6774063632702376
22,0.6810310108739428
23,0.6818364881192106
24,0.680628272251309
25,0.6810310108739428
26,0.680628272251309
27,0.6729762384212646
28,0.6826419653644784
29,0.6761981474023359
30,0.6737817156665324
