Epoch,Loss
1,81.01025360822678
2,76.98207432031631
3,76.37167671322823
4,76.52770398557186
5,76.1386670768261
6,74.79226587712765
7,74.77017091214657
8,74.8192824870348
9,74.792026668787
10,74.1269882619381
11,75.54595945775509
12,74.464301019907
13,73.81967398524284
14,74.1833249181509
15,72.82609578967094
16,73.45827443897724
17,73.37196043133736
18,72.92827408015728
19,72.42186696827412
20,73.38586147129536
21,72.78733050823212
22,72.7757927775383
23,72.56892967224121
24,72.1873501688242
25,72.30529879033566
26,72.4188978523016
27,72.62515823543072
28,72.06532663106918
29,72.04847460985184
30,71.31541167199612
