Epoch,Loss
1,139.12693309783936
2,135.40182995796204
3,139.0492503643036
4,142.52246284484863
5,145.00881147384644
6,144.6510534286499
7,142.1897088289261
8,139.19078695774078
9,136.70186471939087
10,134.16403341293335
11,131.739138007164
12,130.02714097499847
13,128.6464272737503
14,127.55684292316437
15,126.86744141578674
16,126.24823772907257
17,124.94857597351074
18,124.08486247062683
19,123.207768201828
20,122.05008041858673
21,121.6694188117981
22,121.33124673366547
23,120.72158014774323
24,120.26306927204132
25,119.93263113498688
26,119.26144564151764
27,118.97993588447571
28,119.05253469944
29,118.90968644618988
30,118.91769564151764
