Epoch,Accuracy
1,0.3427305678614579
2,0.3407168747482884
3,0.3419250906161901
4,0.34313330648409185
5,0.346757954087797
6,0.3527990334273057
7,0.3685058397100282
8,0.38219895287958117
9,0.3999194522754732
10,0.414418042690294
11,0.4309303262182843
12,0.44623439387837294
13,0.4571083366894885
14,0.46435763189689894
15,0.4695932339911397
16,0.47482883608538057
17,0.4788562223117197
18,0.48610551751913006
19,0.4937575513491744
20,0.5010068465565848
21,0.5050342327829239
22,0.5098670962545309
23,0.513491743858236
24,0.518324607329843
25,0.522754732178816
26,0.527184857027789
27,0.5291985501409585
28,0.5291985501409585
29,0.5316149818767619
30,0.5328231977446637
