Epoch,AUC
1,0.6996165186305552
2,0.6902793241426256
3,0.6818678404066819
4,0.6680193247197673
5,0.6883221565022224
6,0.7047192521663362
7,0.7209086040079571
8,0.7071830931228156
9,0.6931176741368482
10,0.6941767433892134
11,0.6994047674135185
12,0.7046451725558638
13,0.7123070369718956
14,0.7257159852093146
15,0.7164632133594093
16,0.7156123770954463
17,0.7159598097230888
18,0.7169621483765813
19,0.7139075514798184
20,0.6909485227170448
21,0.7018433393690016
22,0.7055107213591066
23,0.7261013967837409
24,0.7272081656889182
25,0.726619916349315
26,0.7150879654512318
27,0.7234216508737501
28,0.7322798643028332
29,0.7455009874011228
30,0.7467077310319794
