Epoch,Loss
1,1.2778113055639289
2,1.2070881306332848
3,1.166713836418641
4,1.1380206070158796
5,1.112346348210738
6,1.0899181154857305
7,1.0743246741645311
8,1.0605815405301324
9,1.0491225073074717
10,1.0403849222028134
11,1.0331682643450453
12,1.0268494522226705
13,1.021503525893142
14,1.0174000698015782
15,1.0133530688621366
16,1.0102738163916742
17,1.0063213361157768
18,1.0039083016766899
19,1.0016139216773485
20,1.0005521901982943
21,0.9998296439135047
22,0.9978455956136929
23,0.9975250469137673
24,0.9963118735936771
25,0.9954264600170694
26,0.9952477140758446
27,0.9931882945143496
28,0.9925277714994012
29,0.9929172416698941
30,0.9932432880245027
