Epoch,Accuracy
1,0.5160281469898358
2,0.5371383893666928
3,0.5355746677091477
4,0.5465207193119624
5,0.5363565285379203
6,0.5543393275996873
7,0.5559030492572322
8,0.5566849100860047
9,0.5543393275996873
10,0.5629397967161845
11,0.5488663017982799
12,0.565285379202502
13,0.5699765441751369
14,0.5691946833463644
15,0.5762314308053167
16,0.5777951524628616
17,0.5723221266614542
18,0.5809225957779516
19,0.581704456606724
20,0.5738858483189992
21,0.5801407349491791
22,0.5824863174354965
23,0.5809225957779516
24,0.5840500390930414
25,0.5801407349491791
26,0.5903049257232212
27,0.5832681782642689
28,0.5871774824081314
29,0.5754495699765442
30,0.5942142298670836
