Epoch,Accuracy
1,0.3419250906161901
2,0.3403141361256545
3,0.3415223519935562
4,0.34313330648409185
5,0.34756343133306483
6,0.35481272654047524
7,0.3697140555779299
8,0.38260169150221507
9,0.4015304067660089
10,0.4196536447845348
11,0.43616592831252515
12,0.4478453483689086
13,0.4571083366894885
14,0.46677406363270235
15,0.4724124043495771
16,0.47724526782118404
17,0.4828836085380588
18,0.48892468787756743
19,0.49496576721707614
20,0.5042287555376561
21,0.5066451872734595
22,0.5110753121224325
23,0.5155054369714056
24,0.5219492549335482
25,0.5275875956504229
26,0.5279903342730567
27,0.5296012887635925
28,0.5296012887635925
29,0.5328231977446637
30,0.5332259363672976
