Epoch,Loss
1,1.4341865640660232
2,1.3278700841851068
3,1.3695796489523535
4,1.342881513467682
5,1.3157564302725606
6,1.3268978310553143
7,1.3512491694487634
8,1.31799615891384
9,1.335788213769803
10,1.3390306717582254
11,1.3095185295785572
12,1.304992672708598
13,1.3292212398408452
14,1.3222316344371017
15,1.3027529884767397
16,1.3187947198358505
17,1.2865643985464454
18,1.282628777931642
19,1.2753643221400026
20,1.288350668301085
21,1.285291568314986
22,1.298678616506651
23,1.296516762113936
24,1.3280433489582109
25,1.307151519239213
26,1.310995662039535
27,1.264396644987697
28,1.2701550575211027
29,1.2586158710144433
30,1.3398930698309126
