Epoch,Loss
1,142.32107663154602
2,134.23665523529053
3,136.12105679512024
4,140.07609140872955
5,141.6434142589569
6,141.5808573961258
7,138.84101843833923
8,136.98838675022125
9,134.7799082994461
10,133.17851054668427
11,131.3119169473648
12,131.25493013858795
13,129.37895095348358
14,129.03271234035492
15,128.96149384975433
16,127.91069281101227
17,126.60621798038483
18,126.43137884140015
19,125.31101906299591
20,123.96355712413788
21,122.9172990322113
22,122.52266871929169
23,122.14226818084717
24,120.95663583278656
25,121.52689921855927
26,120.14814364910126
27,120.49823808670044
28,120.97020924091339
29,120.67132663726807
30,120.4772458076477
