Epoch,Loss
1,141.92469811439514
2,134.96776163578033
3,136.5277990102768
4,139.16267096996307
5,141.19876778125763
6,141.35509514808655
7,139.5663069486618
8,137.2128357887268
9,135.34279084205627
10,133.33282208442688
11,131.03358137607574
12,129.57942461967468
13,128.3259922862053
14,127.00791811943054
15,126.20678985118866
16,125.77055305242538
17,124.5218780040741
18,123.58419245481491
19,122.96948075294495
20,121.72091090679169
21,121.36594462394714
22,121.10517251491547
23,120.63340824842453
24,120.29606479406357
25,119.79249513149261
26,119.20123362541199
27,118.67458248138428
28,118.65784603357315
29,118.29510617256165
30,118.22259163856506
